      R          P(R)      ERROR
  0.3347E+02  0.2432E-04  0.3521E-07
  0.3411E+02  0.2408E-04  0.3613E-07
  0.3474E+02  0.2383E-04  0.3711E-07
  0.3537E+02  0.2356E-04  0.3812E-07
  0.3600E+02  0.2328E-04  0.3910E-07
  0.3663E+02  0.2299E-04  0.4001E-07
  0.3726E+02  0.2269E-04  0.4085E-07
  0.3789E+02  0.2238E-04  0.4157E-07
  0.3853E+02  0.2206E-04  0.4219E-07
  0.3916E+02  0.2173E-04  0.4270E-07
  0.3979E+02  0.2140E-04  0.4312E-07
  0.4042E+02  0.2106E-04  0.4349E-07
  0.4105E+02  0.2072E-04  0.4383E-07
  0.4168E+02  0.2037E-04  0.4419E-07
  0.4232E+02  0.2002E-04  0.4459E-07
  0.4295E+02  0.1966E-04  0.4507E-07
  0.4358E+02  0.1931E-04  0.4564E-07
  0.4421E+02  0.1895E-04  0.4633E-07
  0.4484E+02  0.1859E-04  0.4712E-07
  0.4547E+02  0.1823E-04  0.4798E-07
  0.4611E+02  0.1787E-04  0.4890E-07
  0.4674E+02  0.1750E-04  0.4984E-07
  0.4737E+02  0.1714E-04  0.5074E-07
  0.4800E+02  0.1678E-04  0.5156E-07
  0.4863E+02  0.1643E-04  0.5225E-07
  0.4926E+02  0.1607E-04  0.5278E-07
  0.4989E+02  0.1571E-04  0.5312E-07
  0.5053E+02  0.1536E-04  0.5325E-07
  0.5116E+02  0.1501E-04  0.5316E-07
  0.5179E+02  0.1466E-04  0.5284E-07
  0.5242E+02  0.1432E-04  0.5233E-07
  0.5305E+02  0.1398E-04  0.5164E-07
  0.5368E+02  0.1364E-04  0.5081E-07
  0.5432E+02  0.1331E-04  0.4990E-07
  0.5495E+02  0.1298E-04  0.4897E-07
  0.5558E+02  0.1266E-04  0.4808E-07
  0.5621E+02  0.1234E-04  0.4729E-07
  0.5684E+02  0.1202E-04  0.4666E-07
  0.5747E+02  0.1171E-04  0.4625E-07
  0.5811E+02  0.1140E-04  0.4608E-07
  0.5874E+02  0.1110E-04  0.4617E-07
  0.5937E+02  0.1081E-04  0.4650E-07
  0.6000E+02  0.1051E-04  0.4706E-07
  0.6063E+02  0.1023E-04  0.4779E-07
