Label: 70, Percentage: 0.0006 
Label: 16, Percentage: 0.0006 
Label: 282, Percentage: 0.00053 
Label: 278, Percentage: 0.00053 
Label: 220, Percentage: 0.00053 
Label: 190, Percentage: 0.00053 
Label: 148, Percentage: 0.00053 
Label: 93, Percentage: 0.00053 
Label: 20, Percentage: 0.00053 
Label: 247, Percentage: 0.00049 
Label: 234, Percentage: 0.00049 
Label: 197, Percentage: 0.00049 
Label: 69, Percentage: 0.00049 
Label: 290, Percentage: 0.00047 
Label: 272, Percentage: 0.00047 
Label: 256, Percentage: 0.00047 
Label: 174, Percentage: 0.00047 
Label: 108, Percentage: 0.00047 
Label: 232, Percentage: 0.00045 
Label: 218, Percentage: 0.00045 
Label: 170, Percentage: 0.00045 
Label: 167, Percentage: 0.00045 
Label: 103, Percentage: 0.00045 
Label: 13, Percentage: 0.00045 
Label: 12, Percentage: 0.00045 
Label: 9, Percentage: 0.00045 
Label: 292, Percentage: 0.00043 
Label: 205, Percentage: 0.00043 
Label: 81, Percentage: 0.00043 
Label: 59, Percentage: 0.00043 
Label: 54, Percentage: 0.00043 
Label: 241, Percentage: 0.00041 
Label: 236, Percentage: 0.00041 
Label: 91, Percentage: 0.00041 
Label: 270, Percentage: 0.00039 
Label: 267, Percentage: 0.00039 
Label: 225, Percentage: 0.00039 
Label: 161, Percentage: 0.00039 
Label: 122, Percentage: 0.00039 
Label: 67, Percentage: 0.00039 
Label: 248, Percentage: 0.00037 
Label: 143, Percentage: 0.00037 
Label: 142, Percentage: 0.00037 
Label: 140, Percentage: 0.00037 
Label: 130, Percentage: 0.00037 
Label: 49, Percentage: 0.00037 
Label: 295, Percentage: 0.00035 
Label: 271, Percentage: 0.00035 
Label: 257, Percentage: 0.00035 
Label: 213, Percentage: 0.00035 
Label: 208, Percentage: 0.00035 
Label: 198, Percentage: 0.00035 
Label: 157, Percentage: 0.00035 
Label: 149, Percentage: 0.00035 
Label: 146, Percentage: 0.00035 
Label: 139, Percentage: 0.00035 
Label: 79, Percentage: 0.00035 
Label: 62, Percentage: 0.00035 
Label: 184, Percentage: 0.00033 
Label: 154, Percentage: 0.00033 
Label: 153, Percentage: 0.00033 
Label: 135, Percentage: 0.00033 
Label: 117, Percentage: 0.00033 
Label: 114, Percentage: 0.00033 
Label: 37, Percentage: 0.00033 
Label: 24, Percentage: 0.00033 
Label: 23, Percentage: 0.00033 
Label: 284, Percentage: 0.00031 
Label: 279, Percentage: 0.00031 
Label: 239, Percentage: 0.00031 
Label: 231, Percentage: 0.00031 
Label: 137, Percentage: 0.00031 
Label: 60, Percentage: 0.00031 
Label: 56, Percentage: 0.00031 
